,host_name,calculated_host_listings_count_entire_homes,neighbourhood_cleansed,latitude,longitude
216,Monkfish Trading MON IKE,26,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9913588094616,23.723509225501022
217,V² Development,27,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0056005,23.7277909
218,Apostolia,4,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9778,23.73268
219,Maria,22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9626531,23.7222305
220,Vincent,6,ΠΑΤΗΣΙΑ,38.01487228645436,23.733242536927232
221,Anna & Efi,6,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9766,23.72617
222,Chris,14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97896,23.72946
223,Κωνσταντινος,22,ΣΤΑΔΙΟ,37.96472373368611,23.74155400489349
224,Stella And Nikos,25,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96899194668903,23.73093107133176
225,Toni,47,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96733,23.72668
226,Miglen,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98607,23.72587
227,Greecing,17,ΣΤΑΔΙΟ,37.9703859,23.7417369
228,Nikos,26,ΑΚΡΟΠΟΛΗ,37.96812,23.71328
229,Evangelos,15,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99618892927125,23.72755385533217
230,Παναγιώτης,44,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9978361,23.732058
231,Berna,11,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98724,23.72616
232,Flavia,19,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311
233,Goldally,30,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.006571,23.7277889
234,Giorgos,3,ΚΕΡΑΜΕΙΚΟΣ,37.98149,23.71817
235,Maryland,56,ΓΟΥΒΑ,37.96134,23.74223
236,Nestor,12,ΚΥΨΕΛΗ,37.99876,23.73327
237,Melina,27,ΠΕΤΡΑΛΩΝΑ,37.96859,23.70409
238,Blueground,26,ΚΟΛΩΝΑΚΙ,37.98029040000001,23.7398563
239,Βασιλης,6,ΓΟΥΔΙ,37.98579678495605,23.76727133989334
240,Stavros,15,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98687200836392,23.72811103558198
241,Antonis,3,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9638883,23.7203554
242,Nikolaos,7,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98465,23.72958
243,Nick,9,ΖΑΠΠΕΙΟ,37.96738,23.73496
